Oschersleben Glider Field,Small airport,Oschersleben,Germany,FRF,EDOL,
Republic,Medium airport,Farmingdale,United States,FRG,KFRG,FRG
French Lick Municipal,Small airport,French Lick,United States,FRH,KFRH,FRH
Marshall Army Air Field,Medium airport,Fort Riley(Junction City),United States,FRI,KFRI,FRI
Fr?us잺losed,Closed,Fr?us,France,FRJ,LFTU,
Fr?ate Island,Small airport,Fr?ate Island,Seychelles,FRK,FSSF,
Forl?Medium airport,Forl?(FC),Italy,FRL,LIPK,,
Fairmont Municipal,Small airport,Fairmont,United States,FRM,KFRM,FRM
Bryant Army,Heliport,Fort Richardson(Anchorage),United States,FRN,PAFR,FRN
Flor?Medium airport,Flor?Norway,FRO,ENFL,,,
Fresh Water Bay잺losed,Closed,Fresh Water Bay,United States,FRP,,
Feramin,Small airport,Feramin,Papua New Guinea,FRQ,AYFE,
Front Royal Warren County,Small airport,Front Royal,United States,FRR,KFRR,FRR
Mundo Maya International,Medium airport,San Benito,Guatemala,FRS,,
El Avellano,Small airport,Frutillar,Chile,FRT,SCEV,
Manas International,Large airport,Bishkek,Kyrgyzstan,FRU,UCFM,
Francistown,Medium airport,Francistown,Botswana,FRW,FBFT,
Eastern Slopes Regional,Small airport,Fryeburg,United States,FRY,KIZG,IZG
Fritzlar,Medium airport,Fritzlar,Germany,FRZ,ETHF,
Figari Sud-Corse,Medium airport,Figari Sud-Corse,France,FSC,LFKF,
Joe Foss Field,Medium airport,Sioux Falls,United States,FSD,KFSD,FSD
Henry Post Army Air Field (Fort Sill),Medium airport,Fort Sill,United States,FSI,KFSI,FSI
Fossil Downs잺losed,Closed,Fossil Downs Station,Australia,FSL,,
Fort Smith Regional,Large airport,Fort Smith,United States,FSM,KFSM,FSM
Haley Army Airfield잺losed,Closed,Fort Sheridan,United States,FSN,,
St Pierre,Medium airport,Saint-Pierre,Saint Pierre and Miquelon,FSP,LFVP,
RAF Kinloss,Medium airport,Kinloss,United Kingdom,FSS,EGQK,
Fort Stockton Pecos County,Medium airport,Fort Stockton,United States,FST,KFST,FST
Fort Sumner Municipal,Small airport,Fort Sumner,United States,FSU,KFSU,FSU
Mt. Fuji Shizuoka,Large airport,Makinohara / Shimada,Japan,FSZ,RJNS,
Futuna,Small airport,Futuna Island,Vanuatu,FTA,NVVF,
El Calafate,Medium airport,El Calafate,Argentina,FTE,SAWC,
Fitiuta,Medium airport,Fitiuta Village,American Samoa,FTI,NSFQ,FAQ
Godman Army Air Field,Medium airport,Fort Knox,United States,FTK,KFTK,FTK
T?anaro,Medium airport,T?anaro,Madagascar,FTU,FMSD,
Fort Worth Meacham International,Large airport,Fort Worth,United States,FTW,KFTW,FTW
Owando,Medium airport,Owando,Congo (Brazzaville),FTX,FCOO,
Fulton County Brown Field,Medium airport,Atlanta,United States,FTY,KFTY,FTY
Fulleborn잺losed,Closed,Fulleborn,Papua New Guinea,FUB,,
Fuerteventura,Medium airport,Fuerteventura Island,Spain,FUE,GCFV,
Fuyang Xiguan,Medium airport,Fuyang,China,FUG,ZSFY,
Fukue,Medium airport,Goto,Japan,FUJ,RJFE,
Fukuoka,Large airport,Fukuoka,Japan,FUK,RJFF,
Fullerton Municipal,Small airport,Fullerton,United States,FUL,KFUL,FUL
Fuma,Small airport,Fuma,Papua New Guinea,FUM,AYFU,
Funafuti International,Medium airport,Funafuti,Tuvalu,FUN,NGFU,
Foshan Shadi,Medium airport,Foshan,China,FUO,ZGFS,
Pointe Vele,Medium airport,Futuna Island,Wallis and Futuna,FUT,NLWF,
Flora Valley,Small airport,,Australia,FVL,YFLO,
Fuvahmulah,Small airport,Fuvahmulah Island,Maldives,FVM,VRMR,
Oombulgurri,Small airport,Forrest River Mission,Australia,FVR,YFRV,
Fort Wayne International,Large airport,Fort Wayne,United States,FWA,KFWA,FWA
NAS Fort Worth JRB/Carswell Field,Medium airport,Fort Worth,United States,FWH,KNFW,NFW
Farewell,Small airport,Farewell,United States,FWL,,0AA4
Heliport잺losed,Closed,Fort William,United Kingdom,FWM,,
Fort Lauderdale Executive,Medium airport,Fort Lauderdale,United States,FXE,KFXE,FXE
Flaxman Island Airstrip잺losed,Closed,Flaxman Island,United States,FXM,,
Cuamba,Small airport,Cuamba,Mozambique,FXO,FQCB,
Dongji Aiport,Medium airport,Fuyuan,China,FYJ,ZYFY,
Fuyun Koktokay,Medium airport,Fuyun,China,FYN,ZWFY,
Faya Largeau,Medium airport,,Chad,FYT,FTTY,
Fort Yukon,Medium airport,Fort Yukon,United States,FYU,PFYU,FYU
Drake Field,Medium airport,Fayetteville,United States,FYV,KFYV,FYV
Fray Bentos,Small airport,Fray Bentos,Uruguay,FZB,,
Bristol Filton잺losed,Closed,Bristol,United Kingdom,FZO,EGTG,
Guamal,Airport,Guamal,Colombia,GAA,,
Gabbs,Small airport,Gabbs,United States,GAB,KGAB,GAB
Celaque,Small airport,Gracias,Honduras,GAC,MHGS,
Northeast Alabama Regional,Small airport,Gadsden,United States,GAD,KGAD,GAD
Gab? Matmata International,Medium airport,Gab?,Tunisia,GAE,DTTG,
Gafsa Ksar International,Medium airport,Gafsa,Tunisia,GAF,DTTF,
Gage,Small airport,Gage,United States,GAG,KGAG,GAG
Gayndah,Small airport,,Australia,GAH,YGAY,
Montgomery County Airpark,Small airport,Gaithersburg,United States,GAI,KGAI,GAI
Yamagata,Medium airport,Yamagata,Japan,GAJ,RJSC,
Gakona잺losed,Closed,Gakona,United States,GAK,,
Edward G. Pitka Sr,Medium airport,Galena,United States,GAL,PAGA,GAL
Gambell,Medium airport,Gambell,United States,GAM,PAGM,GAM
Gan International,Medium airport,Gan,Maldives,GAN,VRMG,
Mariana Grajales,Medium airport,Guant?amo,Cuba,GAO,MUGT,
Gusap,Small airport,Gusap,Papua New Guinea,GAP,AYGP,
Gao,Medium airport,,Mali,GAQ,GAGO,
Garaina,Small airport,Garaina,Papua New Guinea,GAR,AYGI,
Garissa,Small airport,Garissa,Kenya,GAS,HKGA,
Gap - Tallard,Small airport,Avignon,France,GAT,LFNA,
Lokpriya Gopinath Bordoloi International,Medium airport,Guwahati,India,GAU,VEGT,
Gag Island,Small airport,Gag Island,Indonesia,GAV,,
Gangaw,Small airport,Gangaw,Burma,GAW,VYGG,
Gamba,Small airport,Gamba,Gabon,GAX,,
Gaya,Medium airport,,India,GAY,VEGY,
Guasopa,Small airport,Woodlark (Muyua) Island,Papua New Guinea,GAZ,AYGJ,
Cotswold,Small airport,Kemble,United Kingdom,GBA,EGBP,
Gabala International,Medium airport,Gabala,Azerbaijan,GBB,UBBQ,
Gasuke,Small airport,Gasuke,Papua New Guinea,GBC,AYGS,
Great Bend Municipal,Small airport,Great Bend,United States,GBD,KGBD,GBD
Sir Seretse Khama International,Medium airport,Gaborone,Botswana,GBE,FBSK,
Negarbo(Negabo),Small airport,Negarbo,Papua New Guinea,GBF,AYNE,
Galesburg Municipal,Small airport,Galesburg,United States,GBG,KGBG,GBG
Galbraith Lake,Small airport,Galbraith Lake,United States,GBH,PAGB,GBH
Auxiliary Airfield,Small airport,Grand Bahama,Bahamas,GBI,MYGM,
Les Bases,Medium airport,Grand Bourg,Guadeloupe,GBJ,TFFM,
Gbangbatok,Small airport,Gbangbatok,Sierra Leone,GBK,GFGK,
South Goulburn Is,Small airport,,Australia,GBL,YGBI,
Garbaharey잺losed,Closed,Garbaharey,Somalia,GBM,,
San Giovanni Rotondo잺losed,Closed,San Giovanni Rotondo,Italy,GBN,,
Baltimore Greenbelt T잺losed,Closed,Baltimore,United States,GBO,,
Gamboola,Small airport,,Australia,GBP,YGAM,
Walter J. Koladza,Small airport,Great Barrington,United States,GBR,KGBR,GBR
Port Fitzroy잺losed,Closed,Port Fitzroy,New Zealand,GBS,,
Gorgan,Medium airport,Gorgan,Iran,GBT,OING,
Khashm El Girba,Small airport,Khashm El Girba,Sudan,GBU,HSKG,
Gibb River,Small airport,,Australia,GBV,YGIB,
Great Barrier Aerodrome,Small airport,Claris,New Zealand,GBZ,NZGB,
Guacamayas,Small airport,Guacamayas,Colombia,GCA,,
Gillette Campbell County,Medium airport,Gillette,United States,GCC,KGCC,GCC
Grand Coulee Dam,Small airport,Electric City,United States,GCD,3W7,3W7
Gachsaran,Medium airport,Gachsaran,Iran,GCH,OIAH,
Guernsey,Medium airport,Saint Peter Port,Guernsey,GCI,EGJB,
Grand Central,Medium airport,Midrand,South Africa,GCJ,FAGC,
Garden City Regional,Medium airport,Garden City,United States,GCK,KGCK,GCK
Owen Roberts International,Large airport,Georgetown,Cayman Islands,GCM,MWCR,
Grand Canyon National Park,Medium airport,Grand Canyon,United States,GCN,KGCN,GCN
Gravatai,Small airport,Gravatai,Brazil,GCV,,
Grand Canyon West,Small airport,Peach Springs,United States,GCW,K1G4,1G4
Gounda잺losed,Closed,Gounda,Central African Republic,GDA,,
Donaldson Center,Small airport,Greenville,United States,GDC,KGYH,GYH
Gordon Downs,Small airport,Gordon Downs,Australia,GDD,YGDN,
Gode,Medium airport,Gode,Ethiopia,GDE,HAGO,
Magdagachi,Small airport,Magdagachi,Russia,GDG,UHBI,
Golden Horn Lodge,Seaplane base,Golden Horn Lodge,United States,GDH,3Z8,3Z8
Gordil,Small airport,Melle,Central African Republic,GDI,FEGL,
Gandajika,Small airport,Gandajika,Congo (Kinshasa),GDJ,FZWC,
Don Miguel Hidalgo Y Costilla International,Large airport,Guadalajara,Mexico,GDL,MMGL,
Gda?sk Lech Wa??sa,Large airport,Gda?sk,Poland,GDN,EPGD,
Guasdalito,Medium airport,,Venezuela,GDO,SVGD,
Guadalupe,Small airport,Guadalupe,Brazil,GDP,SNGD,
Gonder,Medium airport,Gondar,Ethiopia,GDQ,HAGN,
JAGS McCartney International,Medium airport,Cockburn Town,Turks and Caicos Islands,GDT,MBGT,
Dawson Community,Medium airport,Glendive,United States,GDV,KGDV,GDV
Gladwin Zettel Memorial,Small airport,Gladwin,United States,GDW,KGDW,GDW
Sokol,Medium airport,Magadan,Russia,GDX,UHMM,
Gelendzhik,Medium airport,Gelendzhik,Russia,GDZ,URKG,
Noum? Magenta,Medium airport,Noum?,New Caledonia,GEA,NWWM,
Gebe,Small airport,Gebe Island,Indonesia,GEB,WAMJ,
Ge?tkale Air Base,Medium airport,Ge?tkale,Cyprus,GEC,LCGK,
Sussex County,Small airport,Georgetown,United States,GED,KGED,GED
Georgetown (Tas),Small airport,,Australia,GEE,YGTO,
Geva,Small airport,Liangia,Solomon Islands,GEF,AGEV,
Spokane International,Large airport,Spokane,United States,GEG,KGEG,GEG
Green Islands잺losed,Closed,Green Islands,Papua New Guinea,GEI,,
Ganes Creek잺losed,Closed,Ganes Creek,United States,GEK,,
Santo 혂gelo,Medium airport,Santo 혂gelo,Brazil,GEL,SBNM,
Cheddi Jagan International,Medium airport,Georgetown,Guyana,GEO,SYCJ,
Rafael Cabrera,Medium airport,Nueva Gerona,Cuba,GER,MUNG,
General Santos International,Medium airport,General Santos,Philippines,GES,RPMR,
Geraldton,Medium airport,Geraldton,Australia,GET,YGEL,
G?livare,Medium airport,G?livare,Sweden,GEV,ESNG,
Gewoia,Small airport,Gewoia,Papua New Guinea,GEW,AYGC,
Geelong잺losed,Closed,,Australia,GEX,YGLG,
Grovedale,Small airport,,Australia,GEX,YGLG,
South Big Horn County,Small airport,Greybull,United States,GEY,KGEY,GEY
Malmstrom Air Force Base,Heliport,Great Falls,United States,GFA,KGFA,GFA
Togiak Fish잺losed,Closed,Togiak Fish,United States,GFB,,
Pope Field,Small airport,Greenfield,United States,GFD,KGFD,GFD
Grenfell,Small airport,Grenfell,Australia,GFE,YGNF,
Griffith,Medium airport,Griffith,Australia,GFF,YGTH,
Grand Forks International,Medium airport,Grand Forks,United States,GFK,KGFK,GFK
Floyd Bennett Memorial,Medium airport,Glens Falls,United States,GFL,KGFL,GFL
Grafton,Medium airport,,Australia,GFN,YGFN,
Bartica A,Small airport,Bartica,Guyana,GFO,SYBT,
Granville,Medium airport,Granville,France,GFR,LFRF,
Grootfontein,Medium airport,Grootfontein,Namibia,GFY,FYGF,
Gregory Downs,Small airport,,Australia,GGD,YGDS,
Georgetown County,Small airport,Georgetown,United States,GGE,KGGE,GGE
East Texas Regional,Medium airport,Longview,United States,GGG,KGGG,GGG
Gilgal,Small airport,Villa Claret,Colombia,GGL,,
Kakamega,Small airport,Kakamega,Kenya,GGM,HKKG,
Gagnoa,Small airport,Gagnoa,C?e d'Ivoire,GGN,DIGA,
Guiglo,Small airport,Guiglo,C?e d'Ivoire,GGO,DIGL,
Garowe잺losed,Closed,Garowe,Somalia,GGR,,
Gobernador Gregores,Small airport,Gobernador Gregores,Argentina,GGS,SAWR,
Exuma International,Medium airport,George Town,Bahamas,GGT,MYEF,
Wokal Field Glasgow International,Medium airport,Glasgow,United States,GGW,KGGW,GGW
Noum?at - Moufdi Zakaria,Medium airport,Gharda?,Algeria,GHA,DAUG,
Governor's Harbour,Medium airport,Governor's Harbour,Bahamas,GHB,MYEM,
Great Harbour Cay,Medium airport,,Bahamas,GHC,MYBG,
Ghimbi잺losed,Closed,Ghimbi,Ethiopia,GHD,,
Garachin?Closed,Closed,Garachin?Panama,GHE,,,
Gush Katif잺losed,Closed,Khan Yunis,Palestinian Territory,GHK,LLAZ,
Centerville Municipal,Small airport,Centerville,United States,GHM,KGHM,GHM
Guanghan,Small airport,Civil Aviation Flight University of China,China,GHN,ZUGH,
Ghat,Medium airport,Ghat,Libya,GHT,HLGT,
Gualeguaychu,Medium airport,Gualeguaychu,Argentina,GHU,SAAG,
Gibraltar,Medium airport,Gibraltar,Gibraltar,GIB,LXGB,
Boigu,Small airport,,Australia,GIC,YBOI,
Gitega,Small airport,Gitega,Burundi,GID,HBBE,
Winter Haven Municipal - Gilbert Field,Small airport,Winter Haven,United States,GIF,KGIF,GIF
Rio Gale? ?Tom Jobim International,Large airport,Rio De Janeiro,Brazil,GIG,SBGL,
Siguiri,Small airport,Siguiri,Guinea,GII,GUSI,
Gilgit,Medium airport,Gilgit,Pakistan,GIL,OPGT,
Miele Mimbale잺losed,Closed,Miele Mimbale,Gabon,GIM,,
Santiago Vila,Medium airport,Girardot,Colombia,GIR,SKGI,
Gisborne,Medium airport,Gisborne,New Zealand,GIS,NZGS,
Mchauru,Small airport,Geita,Tanzania,GIT,HTRU,
Sigiriya Air Force Base,Small airport,Sigiriya,Sri Lanka,GIU,VCCS,
Giyani,Small airport,Giyani,South Africa,GIY,FAGI,
Jizan Regional,Medium airport,Jizan,Saudi Arabia,GIZ,OEGN,
La Laguna,Medium airport,Guanaja,Honduras,GJA,MHNJ,
Jijel Ferhat Abbas,Medium airport,Jijel,Algeria,GJL,DAAV,
Guajar?Mirim,Medium airport,Guajar?Mirim,Brazil,GJM,SBGM,
Gj?ur,Small airport,Gj?ur,Iceland,GJR,BIGJ,
Grand Junction Regional,Medium airport,Grand Junction,United States,GJT,KGJT,GJT
Goroka,Medium airport,Goronka,Papua New Guinea,GKA,AYGA,
Imroz,Small airport,G??ada,Turkey,GKD,LTFK,
Geilenkirchen Air Base,Medium airport,,Germany,GKE,ETNG,
Palungtar,Small airport,Gorkha,Nepal,GKH,VNGK,
Kooddoo,Small airport,Huvadhu Atoll,Maldives,GKK,VRMO,
Great Keppel Is,Small airport,Great Keppel Island,Australia,GKL,YGKL,
Gulkana,Medium airport,Gulkana,United States,GKN,PAGK,GKN
Kongoboumba잺losed,Closed,Kongoboumba,Gabon,GKO,,
Gatlinburg-Pigeon Forge,Small airport,Sevierville,United States,GKT,KGKT,GKT
Glasgow International,Large airport,Glasgow,United Kingdom,GLA,EGPF,
San Carlos Apache,Small airport,Globe,United States,GLB,P13,P13
Geladi,Small airport,Geladi,Ethiopia,GLC,HAGL,
Renner Field-Goodland Municipal,Medium airport,Goodland,United States,GLD,KGLD,GLD
Golfito,Medium airport,Golfito,Costa Rica,GLF,MRGF,
Glengyle,Small airport,,Australia,GLG,YGLE,
Mid Delta Regional,Medium airport,Greenville,United States,GLH,KGLH,GLH
Glen Innes,Medium airport,,Australia,GLI,YGLI,
La Jagua,Small airport,Garz?,Colombia,GLJ,SKGZ,
Galcaio,Small airport,Galcaio,Somalia,GLK,HCMR,
Gol,Small airport,Klanten flyplass,Norway,GLL,ENKL,
Glenormiston,Small airport,,Australia,GLM,YGLO,
Goulimime,Small airport,Goulimime,Morocco,GLN,GMAG,
Gloucestershire,Medium airport,Staverton,United Kingdom,GLO,EGBJ,
Gulgubip,Small airport,Gulgubip,Papua New Guinea,GLP,AYUP,
Glennallen잺losed,Closed,Glennallen,United States,GLQ,,
Gaylord Regional,Small airport,Gaylord,United States,GLR,KGLR,GLR
Scholes International At Galveston,Medium airport,Galveston,United States,GLS,KGLS,GLS
Gladstone,Medium airport,Gladstone,Australia,GLT,YGLA,
Gelephu,Medium airport,Gelephu,Bhutan,GLU,VQGP,
Golovin,Small airport,Golovin,United States,GLV,PAGL,GLV
Gamarmalamo,Small airport,Galela-Celebes Island,Indonesia,GLX,WAMA,
Goldsworthy잺losed,Closed,Goldsworthy,Australia,GLY,,
Gilze Rijen Air Base,Medium airport,Breda,Netherlands,GLZ,EHGR,
Gemena,Medium airport,Gemena,Congo (Kinshasa),GMA,FZFK,
Gambella,Medium airport,Gambela,Ethiopia,GMB,HAGM,
Guerima,Airport,Guerima,Colombia,GMC,,
Ben Slimane,Small airport,Ben Slimane,Morocco,GMD,GMMB,
Gomel,Medium airport,Gomel,Belarus,GME,UMGG,
Gasmata Island,Small airport,Gasmata Island,Papua New Guinea,GMI,AYGT,
Gostomel,Medium airport,Kiev,Ukraine,GML,UKKM,
Gamboma,Small airport,Gamboma,Congo (Brazzaville),GMM,FCOG,
Greymouth,Small airport,,New Zealand,GMN,NZGM,
Gombe Lawanti International,Medium airport,Gombe,Nigeria,GMO,DNGO,
Gimpo International,Large airport,Seoul,South Korea,GMP,RKSS,
Golog Maqin,Medium airport,Golog,China,GMQ,,
Totegegie,Medium airport,,French Polynesia,GMR,NTGJ,
Granite Mountain Air Station,Small airport,Granite Mountain,United States,GMT,PAGZ,GSZ
Greenville Downtown,Medium airport,Greenville,United States,GMU,KGMU,GMU
Monument Valley,Small airport,Goulding's Lodge,United States,GMV,UT25,UT25
Rheindahlen잺losed,Closed,Rheindahlen,Germany,GMY,,
La Gomera,Small airport,"Alajero, La Gomera Island",Spain,GMZ,GCGM,
Hrodna,Medium airport,Hrodna,Belarus,GNA,UMMG,
Grenoble-Is?e,Medium airport,Grenoble/Saint-Geoirs,France,GNB,LFLS,
Point Salines International,Medium airport,Saint George's,Grenada,GND,TGPY,
Ghent잺losed,Closed,Ghent,Belgium,GNE,,
Gansner Field,Small airport,Quincy,United States,GNF,K2O1,2O1
Gooding Municipal,Small airport,Gooding,United States,GNG,KGNG,GNG
Lyudao,Small airport,Lyudao,Taiwan,GNI,RCGI,
Guanambi,Small airport,Guanambi,Brazil,GNM,SNGI,
Ghinnir,Small airport,Ghinnir,Ethiopia,GNN,HAGH,
Dr. Arturo H. Illia,Small airport,General Roca,Argentina,GNR,SAHR,
Binaka,Medium airport,Gunung Sitoli-Nias Island,Indonesia,GNS,WIMB,
Grants-Milan Municipal,Small airport,Grants,United States,GNT,KGNT,GNT
Goodnews,Small airport,Goodnews,United States,GNU,GNU,GNU
Gainesville Regional,Medium airport,Gainesville,United States,GNV,KGNV,GNV
?anl?urfa GAP,Medium airport,?anl?urfa,Turkey,GNY,LTCS,
Ghanzi,Small airport,Ghanzi,Botswana,GNZ,FBGZ,
Genoa Cristoforo Colombo,Large airport,Genova,Italy,GOA,LIMJ,
Robe,Small airport,Goba,Ethiopia,GOB,HAGB,
Gora Airstrip,Small airport,Gora,Papua New Guinea,GOC,AYGX,
Gonaili,Small airport,Gonaili,Papua New Guinea,GOE,AYGL,
Goodfellow AFB잺losed,Closed,San Angelo,United States,GOF,,
Gobabis,Small airport,Gobabis,Namibia,GOG,FYGB,
Godthaab / Nuuk,Medium airport,Nuuk,Greenland,GOH,BGGH,
Dabolim,Large airport,Vasco da Gama,India,GOI,VOGO,
Nizhny Novgorod Strigino International,Medium airport,Nizhny Novgorod,Russia,GOJ,UWGG,
Guthrie-Edmond Regional,Small airport,Guthrie,United States,GOK,KGOK,GOK
Goma International,Medium airport,Goma,Congo (Kinshasa),GOM,FZNA,
Groton New London,Medium airport,Groton (New London),United States,GON,KGON,GON
Goondiwindi,Small airport,,Australia,GOO,YGDI,
Gorakhpur,Medium airport,Gorakhpur,India,GOP,VEGK,
Golmud,Medium airport,Golmud,China,GOQ,ZLGM,
Gore,Small airport,Gore,Ethiopia,GOR,HAGR,
Gosford잺losed,Closed,Gosford,Australia,GOS,,
Gothenburg-Landvetter,Large airport,Gothenburg,Sweden,GOT,ESGG,
Garoua International,Medium airport,Garoua,Cameroon,GOU,FKKR,
Gove,Medium airport,Nhulunbuy,Australia,GOV,YPGV,
Gorna Oryahovitsa,Medium airport,Gorna Oryahovitsa,Bulgaria,GOZ,LBGO,
Araxos,Medium airport,Patras,Greece,GPA,LGRX,
Tancredo Thomas de Faria,Small airport,Guarapuava,Brazil,GPB,SBGU,
Mount Gordon,Small airport,Mount Gordon Mine,Australia,GPD,YGON,
Juan Casiano,Medium airport,Guapi,Colombia,GPI,SKGP,
Guapiles,Medium airport,Pococi,Costa Rica,GPL,MRGP,
Garden Point,Medium airport,,Australia,GPN,YGPT,
General Pico,Medium airport,General Pico,Argentina,GPO,SAZG,
Seymour,Small airport,Baltra,Ecuador,GPS,SEGS,
Gulfport Biloxi International,Large airport,Gulfport,United States,GPT,KGPT,GPT
Grand Rapids Itasca Co-Gordon Newstrom field,Small airport,Grand Rapids,United States,GPZ,KGPZ,GPZ
Galion Municipal,Small airport,Galion,United States,GQQ,KGQQ,GQQ
Gamarra잺losed,Closed,Gamarra,Colombia,GRA,,
Austin Straubel International,Large airport,Green Bay,United States,GRB,KGRB,GRB
Grand Cess잺losed,Closed,Grand Cess,Liberia,GRC,,
Greenwood County,Small airport,Greenwood,United States,GRD,KGRD,GRD
Gray Army Air Field,Medium airport,Fort Lewis/Tacoma,United States,GRF,KGRF,GRF
Gardez,Small airport,Gardez,Afghanistan,GRG,OAGZ,
Garuahi잺losed,Closed,Garuahi,Papua New Guinea,GRH,,
Central Nebraska Regional,Medium airport,Grand Island,United States,GRI,KGRI,GRI
George,Large airport,George,South Africa,GRJ,FAGG,
Robert Gray Army Air Field,Medium airport,Fort Hood/Killeen,United States,GRK,KGRK,GRK
Garasa,Small airport,Au,Papua New Guinea,GRL,AYGG,
Grand Marais Cook County,Small airport,Grand Marais,United States,GRM,KCKC,CKC
Gordon Municipal,Small airport,Gordon,United States,GRN,KGRN,GRN
Girona,Medium airport,Girona,Spain,GRO,LEGE,
Gurupi,Small airport,Gurupi,Brazil,GRP,SWGI,
Eelde,Medium airport,Groningen,Netherlands,GRQ,EHGG,
Gerald R. Ford International,Medium airport,Grand Rapids,United States,GRR,KGRR,GRR
Grosseto Air Base,Medium airport,Grosetto,Italy,GRS,LIRS,
Gujrat,Small airport,Gujrat,Pakistan,GRT,,
Guarulhos - Governador Andr?Franco Montoro International,Large airport,S? Paulo,Brazil,GRU,SBGR,
Grozny North,Large airport,Grozny,Russia,GRV,URMG,
Graciosa,Medium airport,Santa Cruz da Graciosa,Portugal,GRW,LPGR,
Federico Garcia Lorca,Medium airport,Granada,Spain,GRX,LEGR,
Gr?sey,Small airport,Gr?sey,Iceland,GRY,BIGR,
Graz,Medium airport,Graz,Austria,GRZ,LOWG,
Long Pasia,Small airport,Long Miau,Malaysia,GSA,WBKN,
Seymour Johnson Air Force Base,Large airport,Goldsboro,United States,GSB,KGSB,GSB
Gascoyne Junction,Small airport,Gascoyne Junction,Australia,GSC,YGSC,
Gothenburg City,Medium airport,Gothenburg,Sweden,GSE,ESGP,
Goshen Municipal,Small airport,Goshen,United States,GSH,KGSH,GSH
Grand-Santi,Small airport,Grand-Santi,Solomon Islands,GSI,SOGS,
